"bg";"cn";"cz";"de";"default";"dk";"en";"es";"fi";"fr";"gr";"hr";"hu";"ir";"it";"jp";"nl";"no";"pl";"pt";"ro";"rs";"ru";"se";"sk";"sl";"tr"
"add";"Добави";"添加";"Přidat";"Hinzufügen";"Add";"Tilføj";"Add";"Añadir";"Lisää";"Ajouter";"Προσθήκη";"Dodaj";"Hozzáadás";"Cuir";"Aggiungi";"追加";"Toevoegen";"Legg til";"Dodaj";"Adicionar";"Adăugare";"Додај";"Добавить";"Lägg till";"Pridať";"Dodaj";"Ekle"
"add_hint";"Добави...";"添加...";"Přidat...";"Hinzufügen...";"Add...";"Tilføj...";"Add...";"Añadir...";"Lisää...";"Ajouter...";"Προσθήκη...";"Dodaj...";"Hozzáadás...";"Cuir...";"Aggiungi...";"追加...";"Toevoegen...";"Legg til...";"Dodaj...";"Adicionar...";"Adăugare...";"Додај...";"Добавить...";"Lägg till...";"Pridať...";"Dodaj...";"Ekle..."
"busy_hint";"В процес на обработка...";"正在处理...";"ZABRÁNO...";"BESCHÄFTIGT...";"BUSY...";"BEARBEJDER...";"BUSY...";"OCUPADO...";"KÄYTTÖKÄYNNISSÄ...";"En cours...";"Επεξεργασία...";"ZANIMLJENO...";"FELDOLGOZÁS...";"GLAOFTHA...";"OCCUPATO...";"処理中...";"BEZIG...";"OPPTATT...";"TRWA...";"A OCUPAR...";"SE PROCESEAZĂ...";"Заузето...";"Обрабатывается...";"BEHANDLAR...";"PRACUJE...";"ZAPOSLENO...";"MEŞGUL..."
"cancel";"Отказ";"取消";"Zrušit";"Abbrechen";"Cancel";"Annuller";"Cancel";"Cancelar";"Peruuta";"Annuler";"Ακύρωση";"Otkaži";"Mégse";"Sceit";"Annulla";"キャンセル";"Annuleren";"Avbryt";"Anuluj";"Cancelar";"Anulare";"Откажи";"Отмена";"Avbryt";"Zrušiť";"Prekini";"İptal"
"choose_directory";"Избор на папка";"选择目录";"Vybrat adresář";"Verzeichnis auswählen";"Select directory";"Vælg mappe";"Select directory";"Seleccionar directorio";"Valitse kansio";"Sélectionner un répertoire";"Επιλογή καταλόγου";"Odaberi direktorij";"Könyvtár kiválasztása";"Roghnaigh eolaire";"Scegli directory";"ディレクトリを選択";"Map selecteren";"Velg katalog";"Wybierz katalog";"Selecionar diretório";"Selectare director";"Изабери директоријум";"Выбрать каталог";"Välj katalog";"Vybrať adresár";"Izberi mapo";"Dizini Seç"
"choose_file";"Избор на файл";"选择文件";"Vybrat soubor";"Datei auswählen";"Select file";"Vælg fil";"Select file";"Seleccionar archivo";"Valitse tiedosto";"Sélectionner un fichier";"Επιλογή αρχείου";"Odaberi datoteku";"Fájl kiválasztása";"Roghnaigh comhad";"Scegli file";"ファイルを選択";"Bestand selecteren";"Velg fil";"Wybierz plik";"Selecionar ficheiro";"Selectare fișier";"Изабери фајл";"Выбрать файл";"Välj fil";"Vybrať súbor";"Izberi datoteko";"Dosyayı Seç"
"close";"Затвори";"关闭";"Zavřít";"Schließen";"Close";"Luk";"Close";"Cerrar";"Sulje";"Fermer";"Κλείσιμο";"Zatvori";"Bezárás";"Dún";"Chiudi";"閉じる";"Sluiten";"Lukk";"Zamknij";"Fechar";"Închidere";"Затвори";"Закрыть";"Stäng";"Zatvoriť";"Zapri";"Kapat"
"conversion_dds_to_png";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG";"DDS > PNG"
"conversion_ktx2_to_png";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS";"KTX2 > DDS"
"conversion_png_to_dds";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS";"PNG > DDS"
